RITONAVIR,HIV/AIDS
TENOFOVIR DISOPROXIL/EMTRICITABINE,HIV/AIDS
ADEK MULTIVITAMIN,cystic fibrosis
ATAZANAVIR,HIV/AIDS
ATRIPLA,HIV/AIDS
ATRIPLA,HIV positive
RITONAVIR,HIV positive
TENOFOVIR DISOPROXIL/EMTRICITABINE,HIV positive
ATAZANAVIR,HIV positive
DORNASE ALFA,cystic fibrosis
CLOZAPINE,Schizophrenia
ALLOPURINOL,gout
ABACAVIR/ LAMIVUDINE,HIV/AIDS
LATANOPROST,glaucoma
EFAVIRENZ,HIV/AIDS
ABACAVIR/ LAMIVUDINE,HIV positive
EFAVIRENZ,HIV positive
DESMOPRESSIN CONC (1.5MG/ML) NASAL SPRAY (HEMOSTASIS),von Willebrands disease
"PANCRELIPASE 16,000 UNITS",cystic fibrosis
KALETRA 200 MG / 50 MG,HIV/AIDS
TENOFOVIR,HIV/AIDS
KALETRA 200 MG / 50 MG,HIV positive
TENOFOVIR,HIV positive
TIMOLOL/DORZOLAMIDE,glaucoma
BRIMONIDINE TARTRATE,glaucoma
ISENTRESS (RALTEGRAVIR),HIV/AIDS
DARUNAVIR,HIV/AIDS
FLUPHENAZINE HCL,Schizophrenia
ISENTRESS (RALTEGRAVIR),HIV positive
NEVIRAPINE,HIV/AIDS
LAMIVUDINE,HIV/AIDS
LAMIVUDINE,HIV positive
NEVIRAPINE,HIV positive
DARUNAVIR,HIV positive
BIMATOPROST 0.03%,glaucoma
LAMIVUDINE/ZIDOVUDINE,HIV/AIDS
ISONIAZID,Tuberculosis
ISONIAZID,positive PPD
BARACLUDE (ENTECAVIR),hepatitis B
GLIPIZIDE,Diabetes Mellitus
GLIPIZIDE,Diabetes Mellitus Incl Borderline
LAMIVUDINE/ZIDOVUDINE,HIV positive
GLIPIZIDE,Diabetes Mellitus Incl Gestational
INSULIN NPH HUMAN,Diabetes Mellitus Incl Gestational
ABACAVIR,HIV/AIDS
INSULIN NPH HUMAN,Diabetes Mellitus
INSULIN NPH HUMAN,Diabetes Mellitus Incl Borderline
ABACAVIR,HIV positive
INTERFERON-BETA-1A,multiple sclerosis
MESALAMINE CAPSULE,Bowelproblems
LEFLUNOMIDE,Rheumatoid Arthritis
TIMOLOL MALEATE 0.25%,glaucoma
SUMATRIPTAN,Headaches
INSULIN GLARGINE,Diabetes Mellitus
INSULIN GLARGINE,Diabetes Mellitus Incl Borderline
SUMATRIPTAN,migraine headache
SUMATRIPTAN,Migraines
CHORIONIC GONADOTROPIN,infertility
FOSAMPRENAVIR,HIV/AIDS
RIBAVIRIN,hepatitis C
ALBUTEROL NEBULIZER,Asthma
LOPINAVIR/RITONAVIR,HIV/AIDS
ALBUTEROL NEBULIZER,asthma
INSULIN GLARGINE,Diabetes Mellitus Incl Gestational
TIMOLOL XE 0.5%,glaucoma
NIFEDIPINE (EXTENDED RELEASE),hypertension
LOPINAVIR/RITONAVIR,HIV positive
FOSAMPRENAVIR,HIV positive
NIFEDIPINE (EXTENDED RELEASE),Hypertension W Borderline
DORZOLAMIDE 2%,glaucoma
NATALIZUMAB,multiple sclerosis
PEGINTERFERON ALPHA-2A,hepatitis C
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,HIV positive
BRINZOLAMIDE,glaucoma
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,HIV/AIDS
TRIAMTERENE 37.5 MG/HYDROCHLOROTHIAZIDE 25 MG (CAPS),hypertension
LOSARTAN,hypertension
TRIAMTERENE 37.5 MG/HYDROCHLOROTHIAZIDE 25 MG (CAPS),Hypertension W Borderline
MESALAMINE ENEMA,Bowelproblems
LOSARTAN,Hypertension W Borderline
BETAXOLOL HCL 0.25%,glaucoma
CYCLOSPORINE MICRO (NEORAL),cardiac transplant
CYCLOSPORINE MICRO (NEORAL),stress test
HYDROXYUREA (NON ONCOLOGY USE),sickle cell anemia
"PANCRELIPASE 20,000 UNITS",cystic fibrosis
CYCLOSPORINE MICRO (NEORAL),cardiac catheterization
TIOTROPIUM,chronic obstructive pulmonary disease
TIOTROPIUM,COPD
COLCHICINE,gout
CLOZAPINE,schizophrenia
PENTOSAN POLYSULFATE SODIUM,interstitial cystitis
MESALAMINE CAPSULE,Crohns disease
METHOTREXATE (RHEUM.),Rheumatoid Arthritis
LEUCOVORIN CALCIUM,rheumatoid arthritis
NEPHROCAPS,Kidney Problems
FLUPHENAZINE HCL,schizophrenia
METHOTREXATE (ORAL),rheumatoid arthritis
LEUCOVORIN CALCIUM,Rheumatoid Arthritis
LEFLUNOMIDE,rheumatoid arthritis
RISEDRONATE,Osteoporosis Osteopenia
MESALAMINE TABLET,Bowelproblems
MESALAMINE ENEMA,ulcerative colitis
CALCIPOTRIENE 0.005%,Eczema Psoriasis Psoriatic Arhtritis
WARFARIN SODIUM,atrial fibrillation
BOSENTAN,pulmonary hypertension
ZOLMITRIPTAN,migraine headache
ZOLMITRIPTAN,Migraines
PIOGLITAZONE,Diabetes Mellitus
PIOGLITAZONE,Diabetes Mellitus Incl Borderline
PIOGLITAZONE,Diabetes Mellitus Incl Gestational
ZOLMITRIPTAN,Headaches
METHOTREXATE (ORAL),Rheumatoid Arthritis
TIMOLOL MALEATE 0.5%,glaucoma
SEVELAMER,Kidney Problems
GLIPIZIDE XL,Diabetes Mellitus
GLIPIZIDE XL,Diabetes Mellitus Incl Borderline
ADEFOVIR,hepatitis B
GLIPIZIDE XL,Diabetes Mellitus Incl Gestational
RALOXIFENE,Osteoporosis Osteopenia
ISOMETHEPTENE/DICHLORALPHENAZONE/APAP,Headaches
GLIPIZIDE XL,diabetes mellitus
INSULIN ASPART,Diabetes Mellitus
INSULIN ASPART,Diabetes Mellitus Incl Borderline
INSULIN ASPART,Diabetes Mellitus Incl Gestational
FLUTICASONE PROPIONATE,Asthma
BUTALBITAL+ASA+CAFFEINE,Headaches
CHANTIX CONTINUING MONTH PAK (VARENICLINE CONTINUING MONTH PAK),Smoker
TRAVOPROST,glaucoma
FLUTICASONE PROPIONATE,asthma
INSULIN GLARGINE,diabetes mellitus
LETROZOLE,breast cancer
INSULIN REGULAR HUMAN,Diabetes Mellitus
INSULIN REGULAR HUMAN,Diabetes Mellitus Incl Borderline
LETROZOLE,Breast neoplasms
INSULIN REGULAR HUMAN,Diabetes Mellitus Incl Gestational
EZETIMIBE,Dyslipidemia
PRAVASTATIN,Dyslipidemia
GLUCAGON HCL,Diabetes Mellitus
GLUCAGON HCL,Diabetes Mellitus Incl Borderline
RIZATRIPTAN,migraine headache
RIZATRIPTAN,Migraines
GLUCAGON HCL,diabetes mellitus
GLUCAGON HCL,Diabetes Mellitus Incl Gestational
ELETRIPTAN,Headaches
PROBENECID,gout
ROSIGLITAZONE,Diabetes Mellitus
ROSIGLITAZONE,Diabetes Mellitus Incl Borderline
