Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution,Asthma
Amoxicillin 500 MG Oral Capsule,Urinary Tract Infection
Atenolol 100 MG Oral Tablet,Hypertension
Atenolol 50 MG Oral Tablet,Hypertension
Atenolol 50 MG Oral Tablet,Essential Hypertension
Augmentin 500-125 MG Oral Tablet,Urinary Tract Infection
Coumadin 5 MG Oral Tablet,Atrial Fibrillation
EryPed 200 200 MG/5ML Oral Suspension Reconstituted,Esophageal Reflux
Ibuprofen 600 MG Oral Tablet,Abdominal Pain
Ibuprofen 600 MG Oral Tablet,Dysmenorrhea
Ibuprofen 600 MG Oral Tablet,Lower Back Pain
Ibuprofen 800 MG Oral Tablet,Abdominal Pain
Ibuprofen 800 MG Oral Tablet,Dysmenorrhea
Lasix 20 MG Oral Tablet,Benign Essential Hypertension
Naproxen 250 MG Oral Tablet,Myalgia And Myositis
Naproxen 250 MG Oral Tablet,Pelvic Pain
Naproxen 250 MG Oral Tablet,Limb Pain
Naproxen 500 MG Oral Tablet,Localized Primary Osteoarthritis Of The Knee
Naproxen 500 MG Oral Tablet,Osteoarthritis Of The Knee
Naproxen 500 MG Oral Tablet,Limb Pain
Nitrostat 0.4 MG Sublingual Tablet Sublingual,Coronary Artery Disease
PredniSONE 10 MG Oral Tablet,Ulcerative Colitis
PredniSONE 5 MG Oral Tablet,Sarcoidosis
Synthroid 100 MCG Oral Tablet,Hyperthyroidism
Penicillin V Potassium 125 MG/5ML Oral Solution Reconstituted,Sickle Cell Hb-SC Disease
Penicillin V Potassium 125 MG/5ML Oral Solution Reconstituted,Sickle Cell Hb-SS Disease
Amoxicillin 250 MG/5ML Oral Suspension Reconstituted,Acute Otitis Media
Hydrochlorothiazide 50 MG Oral Tablet,Essential Hypertension
Penicillin V Potassium 250 MG/5ML Oral Solution Reconstituted,Sickle Cell Hb-SC Disease
Penicillin V Potassium 250 MG/5ML Oral Solution Reconstituted,Sickle Cell Hb-SS Disease
Albuterol Sulfate (2.5 MG/3ML) 0.083% Inhalation Nebulization Solution,Reactive Airway Disease
Albuterol Sulfate (2.5 MG/3ML) 0.083% Inhalation Nebulization Solution,Mild Intermittent Asthma
Albuterol Sulfate (2.5 MG/3ML) 0.083% Inhalation Nebulization Solution,Chronic Lung Disease Of Newborn
Allopurinol 100 MG Oral Tablet,Asymptomatic Hyperuricemia
Allopurinol 300 MG Oral Tablet,Gout
ALPRAZolam 0.25 MG Oral Tablet,Generalized Anxiety Disorder
ALPRAZolam 0.5 MG Oral Tablet,Anxiety Disorder NOS
Amitriptyline HCl 10 MG Oral Tablet,Abdominal Pain
Amitriptyline HCl 25 MG Oral Tablet,Migraine Headache
Ampicillin 500 MG Oral Capsule,Urinary Tract Infection
Bacitracin 500 UNIT/GM External Ointment,Folliculitis
Baclofen 10 MG Oral Tablet,Multiple Sclerosis
Baclofen 10 MG Oral Tablet,Cerebral Artery Thrombosis - With Cerebral Infarction
Benzonatate 100 MG Oral Capsule,Cough
Benzonatate 100 MG Oral Capsule,Acute Upper Respiratory Infection
Benzoyl Peroxide 10 % External Gel,Acne
Aspirin 325 MG Oral Tablet,Ischemic Stroke
Atenolol 25 MG Oral Tablet,Hypertension
Benzoyl Peroxide Wash 5 % External Liquid,Acne
CloNIDine HCl 0.1 MG Oral Tablet,Hypertension
CloNIDine HCl 0.1 MG Oral Tablet,Essential Hypertension
CloNIDine HCl 0.1 MG Oral Tablet,Attention-deficit Hyperactivity Disorder
CloNIDine HCl 0.1 MG Oral Tablet,"ADHD, Combined Type"
Clotrimazole 1 % External Cream,Dermatophytosis
Clotrimazole 1 % External Cream,Tinea Capitis
Clotrimazole 1 % External Cream,Tinea Cruris
Clotrimazole 1 % External Cream,Tinea Corporis
Colchicine 0.6 MG TABS,Gout
CarBAMazepine 200 MG Oral Tablet,Multiple Sclerosis
Cyclobenzaprine HCl 10 MG Oral Tablet,Rheumatoid Arthritis
Cyclobenzaprine HCl 10 MG Oral Tablet,Muscle Spasm
Cyclobenzaprine HCl 10 MG Oral Tablet,Lower Back Pain
Cyclobenzaprine HCl 10 MG Oral Tablet,Limb Pain
Cyproheptadine HCl 2 MG/5ML Oral Syrup,Vomiting (Symptom)
Cyproheptadine HCl 2 MG/5ML Oral Syrup,Failure To Thrive In Childhood
Dilantin 100 MG Oral Capsule,Partial Complex Psychomotor Seizure With Intractable Seizure
ClomiPHENE Citrate 50 MG Oral Tablet,Polycystic Ovarian Syndrome
ClomiPHENE Citrate 50 MG Oral Tablet,Female Infertility Associated With Anovulation
Erythromycin 5 MG/GM Ophthalmic Ointment,Acute Bacterial Conjunctivitis
Erythromycin 5 MG/GM Ophthalmic Ointment,Acute Conjunctivitis Of Both Eyes
Ferrous Sulfate 325 (65 Fe) MG Oral Tablet,Anemia
Ferrous Sulfate 325 (65 Fe) MG Oral Tablet,Iron Deficiency
Ferrous Sulfate 325 (65 Fe) MG Oral Tablet,"Chronic Kidney Disease, Stage 4"
Flagyl 500 MG Oral Tablet,Trichomonas Vaginalis Vaginitis
