Permethrin,Scabies
Griseofulvin Microsize,Tinea Capitis
BeneFIX,Factor IX Deficiency
Glucagon Emergency,Type I Diabetes Mellitus - Uncontrolled
Levothyroxine Sodium,Hypothyroidism
MetroNIDAZOLE,Bacterial Vaginosis
Isoniazid,Latent Tuberculosis
AquADEKs,Pancreatic Insufficiency
LevOCARNitine,Disorder Of Mitochondrial Metabolism
Terconazole,Vaginal Candidiasis
Phenex-2,Phenylketonuria
Lupron Depot-Ped,Precocious Puberty
Glucagon Emergency,Visit For: Fit/Adjust Insulin Pump
Pyridostigmine Bromide,Myasthenia Gravis
Levemir FlexPen,Taking Medication For Diabetes Long-term Use Of Insulin
Copaxone,Multiple Sclerosis
Truvada,HIV Infection
Solu-CORTEF,Congenital Adrenal Hyperplasia
Mestinon,Myasthenia Gravis
Viagra,Male Erectile Disorder
Mebendazole,Enterobiasis (Pinworm)
Nystatin,Oral Thrush
Methotrexate,Rheumatoid Arthritis
Riboflavin,Disorder Of Mitochondrial Metabolism
Norvir,HIV Infection
Elmiron,Chronic Interstitial Cystitis
NovoLOG FlexPen,Taking Medication For Diabetes Long-term Use Of Insulin
Synthroid,Hypothyroidism
Coenzyme Q10,Disorder Of Mitochondrial Metabolism
Permethrin Lice Treatment,Pediculosis Capitis
Ergocalciferol,Vitamin D Deficiency
Kaletra,HIV Infection
Griseofulvin Ultramicrosize,Tinea Capitis
"Pen Needles 5/16""",Taking Medication For Diabetes Long-term Use Of Insulin
Levemir FlexPen,Diabetes Mellitus Poorly Controlled
Atripla,HIV Infection
Gris-PEG,Tinea Capitis
Floxin Otic,Chronic Tubotympanic Suppurative Otitis Media
"Pen Needles 5/16""",Diabetes Mellitus Poorly Controlled
Reyataz,HIV Infection
Colistimethate Sodium,Pseudomonas Wound Infection
Methimazole,Graves' Disease
Zolpidem Tartrate,Insomnia
Cialis,Male Erectile Disorder
Warfarin Sodium,Atrial Fibrillation
Malathion,Pediculosis Capitis
Polyethylene Glycol 3350,Constipation
Carbidopa-Levodopa,Parkinson's Disease
